"Título de trazado: test_lab"
"N.º","Fecha Tiempo, GMT+02:00","Pres abs, kPa (LGR S/N: 20370562, SEN S/N: 20370562, LBL: PRES)","Temp, °C (LGR S/N: 20370562, SEN S/N: 20370562, LBL: TEMP)"
107,08/21/18 11:05:10 AM,101.269,19.472
108,08/21/18 11:05:11 AM,101.269,19.472
109,08/21/18 11:05:12 AM,101.269,19.472
110,08/21/18 11:05:13 AM,101.269,19.472
111,08/21/18 11:05:14 AM,101.289,19.567
112,08/21/18 11:05:15 AM,101.273,19.567
113,08/21/18 11:05:16 AM,101.289,19.567
114,08/21/18 11:05:17 AM,101.273,19.567
115,08/21/18 11:05:18 AM,101.273,19.567
116,08/21/18 11:05:19 AM,101.273,19.567
117,08/21/18 11:05:20 AM,101.273,19.567
118,08/21/18 11:05:21 AM,101.273,19.567
119,08/21/18 11:05:22 AM,101.273,19.567
120,08/21/18 11:05:23 AM,101.273,19.567
121,08/21/18 11:05:24 AM,101.289,19.567
122,08/21/18 11:05:25 AM,101.273,19.567
123,08/21/18 11:05:26 AM,101.273,19.567
124,08/21/18 11:05:27 AM,101.273,19.567
125,08/21/18 11:05:28 AM,101.273,19.567
126,08/21/18 11:05:29 AM,101.273,19.567
127,08/21/18 11:05:30 AM,101.277,19.662
128,08/21/18 11:05:31 AM,101.262,19.662
129,08/21/18 11:05:32 AM,101.277,19.662
130,08/21/18 11:05:33 AM,101.277,19.662
131,08/21/18 11:05:34 AM,101.277,19.662
132,08/21/18 11:05:35 AM,101.277,19.662
133,08/21/18 11:05:36 AM,101.277,19.662
134,08/21/18 11:05:37 AM,101.277,19.662
135,08/21/18 11:05:38 AM,101.262,19.662
136,08/21/18 11:05:39 AM,101.277,19.662
137,08/21/18 11:05:40 AM,101.277,19.662
138,08/21/18 11:05:41 AM,101.277,19.662
139,08/21/18 11:05:42 AM,101.277,19.662
140,08/21/18 11:05:43 AM,101.277,19.662
141,08/21/18 11:05:44 AM,101.277,19.662
142,08/21/18 11:05:45 AM,101.277,19.662
143,08/21/18 11:05:46 AM,101.277,19.662
144,08/21/18 11:05:47 AM,101.262,19.662
145,08/21/18 11:05:48 AM,101.262,19.662
146,08/21/18 11:05:49 AM,101.262,19.662
147,08/21/18 11:05:50 AM,101.262,19.662
148,08/21/18 11:05:51 AM,101.266,19.758
149,08/21/18 11:05:52 AM,101.266,19.758
150,08/21/18 11:05:53 AM,101.281,19.758
151,08/21/18 11:05:54 AM,101.266,19.758
152,08/21/18 11:05:55 AM,101.266,19.758
153,08/21/18 11:05:56 AM,101.266,19.758
154,08/21/18 11:05:57 AM,101.266,19.758
155,08/21/18 11:05:58 AM,101.266,19.758
156,08/21/18 11:05:59 AM,101.266,19.758
157,08/21/18 11:06:00 AM,101.266,19.758
158,08/21/18 11:06:01 AM,101.266,19.758
159,08/21/18 11:06:02 AM,101.266,19.758
160,08/21/18 11:06:03 AM,101.266,19.758
161,08/21/18 11:06:04 AM,101.266,19.758
162,08/21/18 11:06:05 AM,101.266,19.758
163,08/21/18 11:06:06 AM,101.266,19.758
164,08/21/18 11:06:07 AM,101.266,19.758
165,08/21/18 11:06:08 AM,101.266,19.758
166,08/21/18 11:06:09 AM,101.266,19.758
167,08/21/18 11:06:10 AM,101.266,19.758
168,08/21/18 11:06:11 AM,101.266,19.758
169,08/21/18 11:06:12 AM,101.266,19.758
170,08/21/18 11:06:13 AM,101.266,19.758
171,08/21/18 11:06:14 AM,101.266,19.758
172,08/21/18 11:06:15 AM,101.266,19.758
173,08/21/18 11:06:16 AM,101.281,19.758
174,08/21/18 11:06:17 AM,101.281,19.758
175,08/21/18 11:06:18 AM,101.270,19.853
176,08/21/18 11:06:19 AM,101.266,19.758
177,08/21/18 11:06:20 AM,101.270,19.853
178,08/21/18 11:06:21 AM,101.270,19.853
179,08/21/18 11:06:22 AM,101.270,19.853
180,08/21/18 11:06:23 AM,101.285,19.853
181,08/21/18 11:06:24 AM,101.270,19.853
182,08/21/18 11:06:25 AM,101.270,19.853
183,08/21/18 11:06:26 AM,101.270,19.853
184,08/21/18 11:06:27 AM,101.270,19.853
185,08/21/18 11:06:28 AM,101.270,19.853
186,08/21/18 11:06:29 AM,101.270,19.853
187,08/21/18 11:06:30 AM,101.270,19.853
188,08/21/18 11:06:31 AM,101.270,19.853
189,08/21/18 11:06:32 AM,101.254,19.853
190,08/21/18 11:06:33 AM,101.270,19.853
191,08/21/18 11:06:34 AM,101.270,19.853
192,08/21/18 11:06:35 AM,101.270,19.853
193,08/21/18 11:06:36 AM,101.270,19.853
194,08/21/18 11:06:37 AM,101.270,19.853
195,08/21/18 11:06:38 AM,101.270,19.853
196,08/21/18 11:06:39 AM,101.270,19.853
197,08/21/18 11:06:40 AM,101.270,19.853
198,08/21/18 11:06:41 AM,101.270,19.853
199,08/21/18 11:06:42 AM,101.270,19.853
200,08/21/18 11:06:43 AM,101.270,19.853
201,08/21/18 11:06:44 AM,101.270,19.853
202,08/21/18 11:06:45 AM,101.270,19.853
203,08/21/18 11:06:46 AM,101.270,19.853
204,08/21/18 11:06:47 AM,101.285,19.853
205,08/21/18 11:06:48 AM,101.270,19.853
206,08/21/18 11:06:49 AM,101.270,19.853
207,08/21/18 11:06:50 AM,101.270,19.853
208,08/21/18 11:06:51 AM,101.270,19.853
209,08/21/18 11:06:52 AM,101.270,19.853
210,08/21/18 11:06:53 AM,101.270,19.853
211,08/21/18 11:06:54 AM,101.285,19.853
212,08/21/18 11:06:55 AM,101.270,19.853
213,08/21/18 11:06:56 AM,101.270,19.853
214,08/21/18 11:06:57 AM,101.270,19.853
215,08/21/18 11:06:58 AM,101.254,19.853
216,08/21/18 11:06:59 AM,101.270,19.853
217,08/21/18 11:07:00 AM,101.270,19.853
218,08/21/18 11:07:01 AM,101.270,19.853
219,08/21/18 11:07:02 AM,101.270,19.853
220,08/21/18 11:07:03 AM,101.270,19.853
221,08/21/18 11:07:04 AM,101.270,19.853
222,08/21/18 11:07:05 AM,101.270,19.853
223,08/21/18 11:07:06 AM,101.270,19.853
224,08/21/18 11:07:07 AM,101.270,19.853
225,08/21/18 11:07:08 AM,101.285,19.853
226,08/21/18 11:07:09 AM,101.285,19.853
227,08/21/18 11:07:10 AM,101.270,19.853
228,08/21/18 11:07:11 AM,101.270,19.853
229,08/21/18 11:07:12 AM,101.270,19.853
230,08/21/18 11:07:13 AM,101.270,19.853
231,08/21/18 11:07:14 AM,101.270,19.853
232,08/21/18 11:07:15 AM,101.270,19.853
233,08/21/18 11:07:16 AM,101.270,19.853
234,08/21/18 11:07:17 AM,101.270,19.853
235,08/21/18 11:07:18 AM,101.270,19.853
236,08/21/18 11:07:19 AM,101.270,19.853
237,08/21/18 11:07:20 AM,101.270,19.853
238,08/21/18 11:07:21 AM,101.285,19.853
239,08/21/18 11:07:22 AM,101.285,19.853
240,08/21/18 11:07:23 AM,101.270,19.853
241,08/21/18 11:07:24 AM,101.270,19.853
242,08/21/18 11:07:25 AM,101.270,19.853
243,08/21/18 11:07:26 AM,101.274,19.948
244,08/21/18 11:07:27 AM,101.254,19.853
245,08/21/18 11:07:28 AM,101.270,19.853
246,08/21/18 11:07:29 AM,101.274,19.948
247,08/21/18 11:07:30 AM,101.270,19.853
248,08/21/18 11:07:31 AM,101.274,19.948
249,08/21/18 11:07:32 AM,101.274,19.948
250,08/21/18 11:07:33 AM,101.274,19.948
251,08/21/18 11:07:34 AM,101.274,19.948
252,08/21/18 11:07:35 AM,101.274,19.948
253,08/21/18 11:07:36 AM,101.274,19.948
254,08/21/18 11:07:37 AM,101.274,19.948
255,08/21/18 11:07:38 AM,101.274,19.948
256,08/21/18 11:07:39 AM,101.274,19.948
257,08/21/18 11:07:40 AM,101.274,19.948
258,08/21/18 11:07:41 AM,101.274,19.948
259,08/21/18 11:07:42 AM,101.274,19.948
260,08/21/18 11:07:43 AM,101.274,19.948
261,08/21/18 11:07:44 AM,101.274,19.948
262,08/21/18 11:07:45 AM,101.274,19.948
263,08/21/18 11:07:46 AM,101.274,19.948
264,08/21/18 11:07:47 AM,101.258,19.948
265,08/21/18 11:07:48 AM,101.258,19.948
266,08/21/18 11:07:49 AM,101.274,19.948
267,08/21/18 11:07:50 AM,101.274,19.948
268,08/21/18 11:07:51 AM,101.274,19.948
269,08/21/18 11:07:52 AM,101.274,19.948
270,08/21/18 11:07:53 AM,101.274,19.948
271,08/21/18 11:07:54 AM,101.258,19.948
272,08/21/18 11:07:55 AM,101.274,19.948
273,08/21/18 11:07:56 AM,101.274,19.948
274,08/21/18 11:07:57 AM,101.274,19.948
275,08/21/18 11:07:58 AM,101.274,19.948
276,08/21/18 11:07:59 AM,101.258,19.948
277,08/21/18 11:08:00 AM,101.274,19.948
278,08/21/18 11:08:01 AM,101.274,19.948
279,08/21/18 11:08:02 AM,101.274,19.948
280,08/21/18 11:08:03 AM,101.274,19.948
281,08/21/18 11:08:04 AM,101.274,19.948
282,08/21/18 11:08:05 AM,101.274,19.948
283,08/21/18 11:08:06 AM,101.274,19.948
284,08/21/18 11:08:07 AM,101.274,19.948
285,08/21/18 11:08:08 AM,101.274,19.948
286,08/21/18 11:08:09 AM,101.274,19.948
287,08/21/18 11:08:10 AM,101.274,19.948
288,08/21/18 11:08:11 AM,101.274,19.948
289,08/21/18 11:08:12 AM,101.274,19.948
290,08/21/18 11:08:13 AM,101.274,19.948
291,08/21/18 11:08:14 AM,101.258,19.948
292,08/21/18 11:08:15 AM,101.274,19.948
293,08/21/18 11:08:16 AM,101.274,19.948
294,08/21/18 11:08:17 AM,101.274,19.948
295,08/21/18 11:08:18 AM,101.258,19.948
296,08/21/18 11:08:19 AM,101.274,19.948
297,08/21/18 11:08:20 AM,101.274,19.948
298,08/21/18 11:08:21 AM,101.274,19.948
299,08/21/18 11:08:22 AM,101.274,19.948
300,08/21/18 11:08:23 AM,101.274,19.948
301,08/21/18 11:08:24 AM,101.274,19.948
302,08/21/18 11:08:25 AM,101.274,19.948
303,08/21/18 11:08:26 AM,101.274,19.948
304,08/21/18 11:08:27 AM,101.274,19.948
305,08/21/18 11:08:28 AM,101.274,19.948
306,08/21/18 11:08:29 AM,101.274,19.948
307,08/21/18 11:08:30 AM,101.274,19.948
308,08/21/18 11:08:31 AM,101.274,19.948
309,08/21/18 11:08:32 AM,101.274,19.948
310,08/21/18 11:08:33 AM,101.274,19.948
311,08/21/18 11:08:34 AM,101.274,19.948
312,08/21/18 11:08:35 AM,101.274,19.948
313,08/21/18 11:08:36 AM,101.274,19.948
314,08/21/18 11:08:37 AM,101.274,19.948
315,08/21/18 11:08:38 AM,101.274,19.948
316,08/21/18 11:08:39 AM,101.274,19.948
317,08/21/18 11:08:40 AM,101.274,19.948
318,08/21/18 11:08:41 AM,101.274,19.948
319,08/21/18 11:08:42 AM,101.274,19.948
320,08/21/18 11:08:43 AM,101.274,19.948
321,08/21/18 11:08:44 AM,101.274,19.948
322,08/21/18 11:08:45 AM,101.258,19.948
323,08/21/18 11:08:46 AM,101.274,19.948
324,08/21/18 11:08:47 AM,101.258,19.948
325,08/21/18 11:08:48 AM,101.274,19.948
326,08/21/18 11:08:49 AM,101.274,19.948
327,08/21/18 11:08:50 AM,101.258,19.948
328,08/21/18 11:08:51 AM,101.258,19.948
329,08/21/18 11:08:52 AM,101.274,19.948
330,08/21/18 11:08:53 AM,101.258,19.948
331,08/21/18 11:08:54 AM,101.274,19.948
332,08/21/18 11:08:55 AM,101.274,19.948
333,08/21/18 11:08:56 AM,101.274,19.948
334,08/21/18 11:08:57 AM,101.274,19.948
335,08/21/18 11:08:58 AM,101.274,19.948
336,08/21/18 11:08:59 AM,101.274,19.948
337,08/21/18 11:09:00 AM,101.274,19.948
338,08/21/18 11:09:01 AM,101.274,19.948
339,08/21/18 11:09:02 AM,101.278,20.043
340,08/21/18 11:09:03 AM,101.274,19.948
341,08/21/18 11:09:04 AM,101.278,20.043
342,08/21/18 11:09:05 AM,101.278,20.043
343,08/21/18 11:09:06 AM,101.278,20.043
344,08/21/18 11:09:07 AM,101.278,20.043
345,08/21/18 11:09:08 AM,101.278,20.043
346,08/21/18 11:09:09 AM,101.278,20.043
347,08/21/18 11:09:10 AM,101.278,20.043
348,08/21/18 11:09:11 AM,101.278,20.043
349,08/21/18 11:09:12 AM,101.278,20.043
350,08/21/18 11:09:13 AM,101.278,20.043
351,08/21/18 11:09:14 AM,101.278,20.043
352,08/21/18 11:09:15 AM,101.278,20.043
353,08/21/18 11:09:16 AM,101.278,20.043
354,08/21/18 11:09:17 AM,101.278,20.043
355,08/21/18 11:09:18 AM,101.278,20.043
356,08/21/18 11:09:19 AM,101.278,20.043
357,08/21/18 11:09:20 AM,101.278,20.043
358,08/21/18 11:09:21 AM,101.262,20.043
359,08/21/18 11:09:22 AM,101.262,20.043
360,08/21/18 11:09:23 AM,101.262,20.043
361,08/21/18 11:09:24 AM,101.262,20.043
362,08/21/18 11:09:25 AM,101.278,20.043
363,08/21/18 11:09:26 AM,101.278,20.043
364,08/21/18 11:09:27 AM,101.278,20.043
365,08/21/18 11:09:28 AM,101.262,20.043
366,08/21/18 11:09:29 AM,101.262,20.043
367,08/21/18 11:09:30 AM,101.278,20.043
368,08/21/18 11:09:31 AM,101.278,20.043
369,08/21/18 11:09:32 AM,101.278,20.043
370,08/21/18 11:09:33 AM,101.278,20.043
371,08/21/18 11:09:34 AM,101.262,20.043
372,08/21/18 11:09:35 AM,101.262,20.043
373,08/21/18 11:09:36 AM,101.278,20.043
374,08/21/18 11:09:37 AM,101.262,20.043
375,08/21/18 11:09:38 AM,101.278,20.043
376,08/21/18 11:09:39 AM,101.262,20.043
377,08/21/18 11:09:40 AM,101.262,20.043
378,08/21/18 11:09:41 AM,101.262,20.043
379,08/21/18 11:09:42 AM,101.262,20.043
380,08/21/18 11:09:43 AM,101.262,20.043
381,08/21/18 11:09:44 AM,101.262,20.043
382,08/21/18 11:09:45 AM,101.262,20.043
383,08/21/18 11:09:46 AM,101.262,20.043
384,08/21/18 11:09:47 AM,101.262,20.043
385,08/21/18 11:09:48 AM,101.262,20.043
386,08/21/18 11:09:49 AM,101.262,20.043
387,08/21/18 11:09:50 AM,101.278,20.043
388,08/21/18 11:09:51 AM,101.278,20.043
389,08/21/18 11:09:52 AM,101.278,20.043
390,08/21/18 11:09:53 AM,101.262,20.043
391,08/21/18 11:09:54 AM,101.262,20.043
392,08/21/18 11:09:55 AM,101.262,20.043
393,08/21/18 11:09:56 AM,101.262,20.043
394,08/21/18 11:09:57 AM,101.278,20.043
395,08/21/18 11:09:58 AM,101.262,20.043
396,08/21/18 11:09:59 AM,101.278,20.043
397,08/21/18 11:10:00 AM,101.278,20.043
398,08/21/18 11:10:01 AM,101.278,20.043
399,08/21/18 11:10:02 AM,101.262,20.043
400,08/21/18 11:10:03 AM,101.278,20.043
401,08/21/18 11:10:04 AM,101.266,20.138
402,08/21/18 11:10:05 AM,101.266,20.138
403,08/21/18 11:10:06 AM,101.266,20.138
404,08/21/18 11:10:07 AM,101.266,20.138
405,08/21/18 11:10:08 AM,101.282,20.138
406,08/21/18 11:10:09 AM,101.266,20.138
407,08/21/18 11:10:10 AM,101.266,20.138
408,08/21/18 11:10:11 AM,101.282,20.138
409,08/21/18 11:10:12 AM,101.266,20.138
410,08/21/18 11:10:13 AM,101.266,20.138
411,08/21/18 11:10:14 AM,101.266,20.138
412,08/21/18 11:10:15 AM,101.266,20.138
413,08/21/18 11:10:16 AM,101.266,20.138
414,08/21/18 11:10:17 AM,101.266,20.138
415,08/21/18 11:10:18 AM,101.266,20.138
416,08/21/18 11:10:19 AM,101.266,20.138
417,08/21/18 11:10:20 AM,101.266,20.138
418,08/21/18 11:10:21 AM,101.266,20.138
419,08/21/18 11:10:22 AM,101.282,20.138
420,08/21/18 11:10:23 AM,101.282,20.138
421,08/21/18 11:10:24 AM,101.282,20.138
422,08/21/18 11:10:25 AM,101.282,20.138
423,08/21/18 11:10:26 AM,101.282,20.138
424,08/21/18 11:10:27 AM,101.266,20.138
425,08/21/18 11:10:28 AM,101.266,20.138
426,08/21/18 11:10:29 AM,101.282,20.138
427,08/21/18 11:10:30 AM,101.266,20.138
428,08/21/18 11:10:31 AM,101.266,20.138
429,08/21/18 11:10:32 AM,101.266,20.138
430,08/21/18 11:10:33 AM,101.266,20.138
431,08/21/18 11:10:34 AM,101.266,20.138
432,08/21/18 11:10:35 AM,101.266,20.138
433,08/21/18 11:10:36 AM,101.266,20.138
434,08/21/18 11:10:37 AM,101.282,20.138
435,08/21/18 11:10:38 AM,101.266,20.138
436,08/21/18 11:10:39 AM,101.266,20.138
437,08/21/18 11:10:40 AM,101.266,20.138
438,08/21/18 11:10:41 AM,101.266,20.138
439,08/21/18 11:10:42 AM,101.266,20.138
440,08/21/18 11:10:43 AM,101.266,20.138
441,08/21/18 11:10:44 AM,101.266,20.138
442,08/21/18 11:10:45 AM,101.266,20.138
443,08/21/18 11:10:46 AM,101.282,20.138
444,08/21/18 11:10:47 AM,101.282,20.138
445,08/21/18 11:10:48 AM,101.282,20.138
446,08/21/18 11:10:49 AM,101.266,20.138
447,08/21/18 11:10:50 AM,101.282,20.138
448,08/21/18 11:10:51 AM,101.266,20.138
449,08/21/18 11:10:52 AM,101.266,20.138
450,08/21/18 11:10:53 AM,101.266,20.138
451,08/21/18 11:10:54 AM,101.282,20.138
452,08/21/18 11:10:55 AM,101.282,20.138
453,08/21/18 11:10:56 AM,101.266,20.138
454,08/21/18 11:10:57 AM,101.266,20.138
455,08/21/18 11:10:58 AM,101.266,20.138
456,08/21/18 11:10:59 AM,101.282,20.138
457,08/21/18 11:11:00 AM,101.282,20.138
458,08/21/18 11:11:01 AM,101.266,20.138
459,08/21/18 11:11:02 AM,101.266,20.138
460,08/21/18 11:11:03 AM,101.282,20.138
461,08/21/18 11:11:04 AM,101.266,20.138
462,08/21/18 11:11:05 AM,101.266,20.138
463,08/21/18 11:11:06 AM,101.266,20.138
464,08/21/18 11:11:07 AM,101.266,20.138
465,08/21/18 11:11:08 AM,101.266,20.138
466,08/21/18 11:11:09 AM,101.266,20.138
467,08/21/18 11:11:10 AM,101.282,20.138
468,08/21/18 11:11:11 AM,101.266,20.138
469,08/21/18 11:11:12 AM,101.266,20.138
470,08/21/18 11:11:13 AM,101.266,20.138
471,08/21/18 11:11:14 AM,101.282,20.138
472,08/21/18 11:11:15 AM,101.282,20.138
473,08/21/18 11:11:16 AM,101.266,20.138
474,08/21/18 11:11:17 AM,101.266,20.138
475,08/21/18 11:11:18 AM,101.282,20.138
476,08/21/18 11:11:19 AM,101.282,20.138
477,08/21/18 11:11:20 AM,101.266,20.138
478,08/21/18 11:11:21 AM,101.266,20.138
479,08/21/18 11:11:22 AM,101.266,20.138
480,08/21/18 11:11:23 AM,101.266,20.138
481,08/21/18 11:11:24 AM,101.266,20.138
482,08/21/18 11:11:25 AM,101.266,20.138
483,08/21/18 11:11:26 AM,101.282,20.138
484,08/21/18 11:11:27 AM,101.266,20.138
485,08/21/18 11:11:28 AM,101.282,20.138
486,08/21/18 11:11:29 AM,101.266,20.138
487,08/21/18 11:11:30 AM,101.266,20.138
488,08/21/18 11:11:31 AM,101.266,20.138
489,08/21/18 11:11:32 AM,101.282,20.138
490,08/21/18 11:11:33 AM,101.266,20.138
491,08/21/18 11:11:34 AM,101.266,20.138
492,08/21/18 11:11:35 AM,101.266,20.138
493,08/21/18 11:11:36 AM,101.266,20.138
494,08/21/18 11:11:37 AM,101.266,20.138
495,08/21/18 11:11:38 AM,101.282,20.138
496,08/21/18 11:11:39 AM,101.266,20.138
497,08/21/18 11:11:40 AM,101.266,20.138
498,08/21/18 11:11:41 AM,101.266,20.138
499,08/21/18 11:11:42 AM,101.266,20.138
500,08/21/18 11:11:43 AM,101.282,20.138
501,08/21/18 11:11:44 AM,101.282,20.138
502,08/21/18 11:11:45 AM,101.266,20.138
503,08/21/18 11:11:46 AM,101.266,20.138
504,08/21/18 11:11:47 AM,101.266,20.138
505,08/21/18 11:11:48 AM,101.266,20.138
506,08/21/18 11:11:49 AM,101.282,20.138
507,08/21/18 11:11:50 AM,101.266,20.138
508,08/21/18 11:11:51 AM,101.270,20.234
509,08/21/18 11:11:52 AM,101.270,20.234
510,08/21/18 11:11:53 AM,101.286,20.234
511,08/21/18 11:11:54 AM,101.270,20.234
512,08/21/18 11:11:55 AM,101.270,20.234
513,08/21/18 11:11:56 AM,101.270,20.234
514,08/21/18 11:11:57 AM,101.270,20.234
515,08/21/18 11:11:58 AM,101.270,20.234
516,08/21/18 11:11:59 AM,101.270,20.234
517,08/21/18 11:12:00 AM,101.270,20.234
518,08/21/18 11:12:01 AM,101.270,20.234
519,08/21/18 11:12:02 AM,101.270,20.234
520,08/21/18 11:12:03 AM,101.270,20.234
521,08/21/18 11:12:04 AM,101.270,20.234
522,08/21/18 11:12:05 AM,101.270,20.234
523,08/21/18 11:12:06 AM,101.270,20.234
524,08/21/18 11:12:07 AM,101.286,20.234
525,08/21/18 11:12:08 AM,101.270,20.234
526,08/21/18 11:12:09 AM,101.270,20.234
527,08/21/18 11:12:10 AM,101.286,20.234
528,08/21/18 11:12:11 AM,101.270,20.234
529,08/21/18 11:12:12 AM,101.270,20.234
530,08/21/18 11:12:13 AM,101.270,20.234
531,08/21/18 11:12:14 AM,101.286,20.234
532,08/21/18 11:12:15 AM,101.286,20.234
533,08/21/18 11:12:16 AM,101.270,20.234
534,08/21/18 11:12:17 AM,101.286,20.234
535,08/21/18 11:12:18 AM,101.270,20.234
536,08/21/18 11:12:19 AM,101.270,20.234
537,08/21/18 11:12:20 AM,101.286,20.234
538,08/21/18 11:12:21 AM,101.286,20.234
539,08/21/18 11:12:22 AM,101.286,20.234
540,08/21/18 11:12:23 AM,101.286,20.234
541,08/21/18 11:12:24 AM,101.270,20.234
542,08/21/18 11:12:25 AM,101.270,20.234
543,08/21/18 11:12:26 AM,101.286,20.234
544,08/21/18 11:12:27 AM,101.286,20.234
545,08/21/18 11:12:28 AM,101.286,20.234
546,08/21/18 11:12:29 AM,101.286,20.234
547,08/21/18 11:12:30 AM,101.286,20.234
548,08/21/18 11:12:31 AM,101.286,20.234
549,08/21/18 11:12:32 AM,101.286,20.234
550,08/21/18 11:12:33 AM,101.286,20.234
